MMSID|title_parent|processing_type|processing_rules|processing_options|publication_key|title_code|edition_discriminators|section_codes|Access|Magazine|ingest_status|Frequency|entity_type|title_mets|ISSN online|Bib ID|Access condition|Date catalogued|Collector_folder|Cataloguer|Notes|first_issue_starting_page|last_issue_starting_page|has_volume_md|has_issue_md|has_number_md|previous_volume|previous_volume_date|previous_volume_frequency|previous_issue|previous_issue_date|previous_issue_frequency|previous_number|previous_number_date|previous_number_frequency
9918967969402836|Woman's day|parent_grouping||numeric_before_alpha|title_code|DZ|||200|1|STA||PER|Woman's day|||||TBC|||||0|0|0|||||||||
9918967970602836|Listener|parent_grouping||numeric_before_alpha|title_code|LS|||200|1|STA||PER|Listener|||||TBC|||||0|0|0|||||||||
9918967968902836|Australian women's weekly|parent_grouping||numeric_before_alpha,issue_only_in_sip|title_code|WZ|||200|1|STA||PER|Australian women's weekly|||||TBC|||||0|0|0|||||||||
9918967968702836|Your Home and Garden|parent_grouping||numeric_before_alpha,issue_only_in_sip|title_code|YH|||200|1|STA||PER|Your Home and Garden|||||TBC|||||0|0|0|||||||||
9918967969102836|New Zealand woman's weekly|parent_grouping||numeric_before_alpha|title_code|ZW|||200|1|STA||PER|New Zealand woman's weekly|||||TBC|||||0|0|0|||||||||
9918967969902836|KiaOra|parent_grouping||numeric_before_alpha,issue_only_in_sip|title_code|AZ|||200|1|STA||PER|KiaOra|||||TBC|||||0|0|0|||||||||
